filename	onset	offset	event_label
Y-1Hub6Ps_cc.wav	0.0	10.0	Running_water
Y-2XEfT3k5yg.wav	8.426	9.057	Cat
Y-64ZmjOBlE8.wav	7.26	9.055	Running_water
Y-68677bCJWM.wav	6.114	8.464	Cat
Y-68677bCJWM.wav	2.091	2.797	Speech
Y-6p32k2WUCs.wav	0.496	10.0	Alarm_bell_ringing
Y-9ek6eO0RtI.wav	0.0	4.24	Alarm_bell_ringing
Y-9ek6eO0RtI.wav	7.454	10.0	Alarm_bell_ringing
Y-A1eKkZVSRw.wav	2.2	5.576	Cat
Y-Bp9Q5aYLOc.wav	0.0	10.0	Vacuum_cleaner
Y-CHwctXCRJk.wav	3.944	4.558	Cat
Y-CHwctXCRJk.wav	5.98	7.286	Cat
Y-CnNnlgEsLY.wav	7.45	8.33	Cat
Y-DlHUJC4NuM.wav	0.0	2.004	Dishes
Y-DlHUJC4NuM.wav	3.287	3.953	Dishes
Y-DlHUJC4NuM.wav	0.0	9.591	Frying
Y-H8nh3Z1__M.wav	7.203	10.0	Blender
Y-Hav5URxl74.wav	0.0	10.0	Electric_shaver_toothbrush
Y-Hh5VlW3pFE.wav	0.0	1.314	Cat
Y-Hh5VlW3pFE.wav	3.053	6.918	Cat
Y-Hh5VlW3pFE.wav	9.72	10.0	Cat
Y-IHE1hhdtek.wav	0.768	1.257	Dog
Y-IHE1hhdtek.wav	1.723	2.114	Dog
Y-IHE1hhdtek.wav	2.927	3.1	Dog
Y-IHE1hhdtek.wav	4.447	4.545	Dog
Y-IHE1hhdtek.wav	4.74	4.929	Dog
Y-IHE1hhdtek.wav	5.342	5.5	Dog
Y-IHE1hhdtek.wav	6.576	6.817	Dog
Y-IHE1hhdtek.wav	7.728	7.893	Dog
Y-IHE1hhdtek.wav	8.427	9.3	Dog
Y-KtFZMN7_Bw.wav	3.98	6.742	Running_water
Y-Ln9HQ6lLtI.wav	1.359	2.134	Cat
Y-T7wZVWM9tw.wav	0.41	0.701	Dog
Y-T7wZVWM9tw.wav	1.456	1.865	Dog
Y-T7wZVWM9tw.wav	2.426	3.105	Dog
Y-T7wZVWM9tw.wav	3.44	3.72	Dog
Y-T7wZVWM9tw.wav	5.262	5.79	Dog
Y-T7wZVWM9tw.wav	6.017	6.675	Dog
Y-T7wZVWM9tw.wav	8.033	8.799	Dog
Y-T7wZVWM9tw.wav	9.025	9.37	Dog
Y-TjnYmEEz4o.wav	0.349	0.992	Cat
Y-TjnYmEEz4o.wav	8.673	10.0	Cat
Y-VLOm8cJZRI.wav	2.452	7.282	Frying
Y-VLOm8cJZRI.wav	7.606	9.109	Frying
Y-W3z8vTg2ko.wav	1.575	2.136	Cat
Y-W3z8vTg2ko.wav	5.02	5.594	Cat
Y-W3z8vTg2ko.wav	7.69	8.678	Cat
Y-W3z8vTg2ko.wav	9.225	9.559	Cat
Y-W9N8xqohLA.wav	3.725	3.981	Cat
Y-W9N8xqohLA.wav	4.424	4.727	Cat
Y-W9N8xqohLA.wav	5.274	5.553	Cat
Y-W9N8xqohLA.wav	6.019	6.321	Cat
Y-W9N8xqohLA.wav	6.775	7.09	Cat
Y-W9N8xqohLA.wav	7.497	7.823	Cat
Y-W9N8xqohLA.wav	8.254	8.568	Cat
Y-W9N8xqohLA.wav	8.964	10.0	Cat
Y-WE3eMj91tI.wav	4.767	4.888	Dog
Y-WPI0qzLuo8.wav	0.0	10.0	Cat
Y-Y2x_3lyCqY.wav	1.159	2.739	Dog
Y-Y2x_3lyCqY.wav	3.454	3.717	Dog
Y-Y2x_3lyCqY.wav	3.958	4.281	Dog
Y-Y2x_3lyCqY.wav	4.786	5.079	Dog
Y-Y2x_3lyCqY.wav	5.463	5.862	Dog
Y-Y2x_3lyCqY.wav	6.576	7.833	Dog
Y-Y2x_3lyCqY.wav	8.051	9.18	Dog
Y-YAyjUL7_xo.wav	0.0	0.376	Dishes
Y-YAyjUL7_xo.wav	1.365	1.966	Dishes
Y-YAyjUL7_xo.wav	4.968	5.09	Dishes
Y-YAyjUL7_xo.wav	6.113	10.0	Frying
Y-YpovYcGB4I.wav	0.187	0.54	Cat
Y-YpovYcGB4I.wav	1.564	2.004	Cat
Y-YpovYcGB4I.wav	2.753	3.282	Cat
Y-YpovYcGB4I.wav	4.306	4.736	Cat
Y-YpovYcGB4I.wav	5.859	6.365	Cat
Y-YpovYcGB4I.wav	7.456	7.929	Cat
Y-YpovYcGB4I.wav	8.667	9.097	Cat
Y-_JNLl_J-_A.wav	0.0	1.787	Cat
Y-_OktjRkoSk.wav	3.339	10.0	Frying
Y-bNJ9olw-OE.wav	0.0	10.0	Electric_shaver_toothbrush
Y-ej17LDVOJc.wav	0.883	1.765	Cat
Y-g-eZBsr_3s.wav	0.0	10.0	Frying
Y-gSfPQqi6nI.wav	1.346	2.362	Cat
Y-gSfPQqi6nI.wav	5.575	6.819	Cat
Y-gSfPQqi6nI.wav	9.055	10.0	Cat
Y-hWRLlRjetY.wav	0.0	0.701	Dishes
Y-hWRLlRjetY.wav	1.102	1.457	Dishes
Y-hWRLlRjetY.wav	2.291	3.701	Dishes
Y-hWRLlRjetY.wav	3.961	5.354	Dishes
Y-hWRLlRjetY.wav	5.843	6.48	Dishes
Y-hWRLlRjetY.wav	6.677	8.78	Dishes
Y-hWRLlRjetY.wav	9.055	9.591	Dishes
Y-k009MXpfdo.wav	0.0	10.0	Electric_shaver_toothbrush
Y-kWlE2dkoxc.wav	0.0	10.0	Vacuum_cleaner
Y-qvb5KM_xYM.wav	0.811	1.055	Cat
Y-qvb5KM_xYM.wav	2.811	3.197	Cat
Y-qvb5KM_xYM.wav	6.346	6.819	Cat
Y-r4NlTG8RA8.wav	6.027	6.38	Cat
Y-uGHAvfqs2I.wav	4.402	5.205	Cat
Y-uGHAvfqs2I.wav	6.346	6.638	Cat
Y-uIrOdeAZbQ.wav	0.0	10.0	Blender
Y-vZ-_4oFCzs.wav	3.014	10.0	Cat
Y-v_xsHAOVxs.wav	0.135	3.06	Electric_shaver_toothbrush
Y-w-O-3ahvQM.wav	2.446	2.958	Alarm_bell_ringing
Y-w-O-3ahvQM.wav	3.291	3.483	Alarm_bell_ringing
Y-w-O-3ahvQM.wav	3.636	5.851	Alarm_bell_ringing
Y-w-O-3ahvQM.wav	7.542	9.001	Alarm_bell_ringing
Y-w-O-3ahvQM.wav	9.193	10.0	Alarm_bell_ringing
Y-w3qkf-V-PY.wav	8.598	10.0	Cat
Y-zCtwbk005g.wav	0.0	0.612	Cat
Y-zCtwbk005g.wav	5.172	6.102	Cat
Y-zCtwbk005g.wav	7.687	9.095	Cat
Y-zpD89D2WyU.wav	0.0	10.0	Running_water
Y02IacAQLR5o.wav	0.0	1.896	Dog
Y02IacAQLR5o.wav	2.137	10.0	Dog
Y02Ux_CdfUiI.wav	6.773	8.017	Cat
Y02Ux_CdfUiI.wav	6.121	7.997	Speech
Y04_1N_55VFw.wav	2.626	3.611	Cat
Y04_1N_55VFw.wav	7.183	8.207	Cat
Y04jA_kRetJY.wav	3.693	5.221	Dishes
Y04jA_kRetJY.wav	9.68	10.0	Dishes
Y04jA_kRetJY.wav	0.0	10.0	Frying
Y05T-qaB-bI0.wav	0.0	0.532	Dog
Y05T-qaB-bI0.wav	0.821	1.805	Dog
Y05T-qaB-bI0.wav	2.256	2.435	Dog
Y05T-qaB-bI0.wav	3.071	3.794	Dog
Y05T-qaB-bI0.wav	4.078	4.477	Dog
Y05T-qaB-bI0.wav	4.939	5.304	Dog
Y05T-qaB-bI0.wav	5.535	6.449	Dog
Y05T-qaB-bI0.wav	6.68	6.969	Dog
Y05T-qaB-bI0.wav	7.259	7.374	Dog
Y05T-qaB-bI0.wav	7.571	8.01	Dog
Y05T-qaB-bI0.wav	8.566	8.849	Dog
Y05T-qaB-bI0.wav	9.439	9.641	Dog
Y06seVx9COw8.wav	0.434	3.411	Cat
Y06seVx9COw8.wav	3.669	4.389	Cat
Y074nzzlXf_g.wav	0.0	1.757	Dishes
Y074nzzlXf_g.wav	1.993	4.065	Dishes
Y074nzzlXf_g.wav	5.42	6.573	Dishes
Y074nzzlXf_g.wav	0.0	10.0	Frying
Y0CRPp8k4wEo.wav	0.14	10.0	Dog
Y0E1jIdp2z10.wav	0.0	10.0	Vacuum_cleaner
Y0E6Uaq_e6OA.wav	3.952	5.057	Cat
Y0E8p38QTjgI.wav	5.099	5.489	Dishes
Y0E8p38QTjgI.wav	5.659	5.773	Dishes
Y0E8p38QTjgI.wav	6.066	6.204	Dishes
Y0E8p38QTjgI.wav	6.537	6.659	Dishes
Y0E8p38QTjgI.wav	7.048	7.576	Dishes
Y0E8p38QTjgI.wav	8.275	9.096	Dishes
Y0F8srmjGqtA.wav	9.22	10.0	Cat
Y0IGUZWhc9Go.wav	0.528	0.894	Dog
Y0IGUZWhc9Go.wav	1.135	1.342	Dog
Y0IGUZWhc9Go.wav	2.294	2.672	Dog
Y0IGUZWhc9Go.wav	3.234	3.498	Dog
Y0IGUZWhc9Go.wav	3.658	3.865	Dog
Y0IGUZWhc9Go.wav	4.209	4.484	Dog
Y0IGUZWhc9Go.wav	4.908	5.333	Dog
Y0IGUZWhc9Go.wav	5.573	5.883	Dog
Y0KA_vvmpAI4.wav	0.0	7.931	Alarm_bell_ringing
Y0KAv-2fHagU.wav	5.519	7.705	Cat
Y0KAv-2fHagU.wav	2.695	3.754	Speech
Y0NyrNJAXrIo.wav	0.0	0.282	Cat
Y0PvDZ5t_Ajk.wav	0.0	10.0	Frying
Y0QtmEs-OOsA.wav	1.482	3.027	Cat
Y0QtmEs-OOsA.wav	4.189	5.379	Cat
Y0RFwwmALrBs.wav	0.0	1.872	Dog
Y0RFwwmALrBs.wav	2.332	3.687	Dog
Y0RFwwmALrBs.wav	4.022	4.986	Dog
Y0RFwwmALrBs.wav	5.489	5.824	Dog
Y0RFwwmALrBs.wav	6.62	6.941	Dog
Y0RFwwmALrBs.wav	7.5	8.115	Dog
Y0RHS3QmHOVE.wav	0.0	10.0	Running_water
Y0RaejfgKs_A.wav	7.048	7.591	Cat
Y0Sq8ge7D4wU.wav	2.054	2.362	Cat
Y0Sq8ge7D4wU.wav	2.771	3.938	Cat
Y0Sq8ge7D4wU.wav	5.207	5.774	Cat
Y0Sq8ge7D4wU.wav	5.932	6.271	Cat
Y0Sq8ge7D4wU.wav	8.911	9.171	Cat
Y0UIl1_s6pfk.wav	4.089	4.358	Cat
Y0WLZoOhg4LE.wav	0.0	0.086	Cat
Y0WLZoOhg4LE.wav	0.237	2.705	Cat
Y0WLZoOhg4LE.wav	2.876	3.825	Cat
Y0WLZoOhg4LE.wav	3.983	4.856	Cat
Y0WLZoOhg4LE.wav	5.158	6.876	Cat
Y0WLZoOhg4LE.wav	7.206	8.093	Cat
Y0WLZoOhg4LE.wav	8.251	9.179	Cat
Y0WLZoOhg4LE.wav	9.426	10.0	Cat
Y0ZyO42c3QEE.wav	0.907	1.776	Cat
Y0ZyO42c3QEE.wav	3.157	3.937	Cat
Y0ZyO42c3QEE.wav	5.196	5.854	Cat
Y0ZyO42c3QEE.wav	8.511	9.136	Cat
Y0b06i5LzIFw.wav	0.0	0.129	Cat
Y0b06i5LzIFw.wav	0.33	0.587	Cat
Y0b06i5LzIFw.wav	1.632	2.452	Cat
Y0b06i5LzIFw.wav	4.639	5.5	Cat
Y0b06i5LzIFw.wav	6.489	7.18	Cat
Y0b06i5LzIFw.wav	8.354	8.965	Cat
Y0b06i5LzIFw.wav	9.263	9.593	Cat
Y0b06i5LzIFw.wav	1.886	2.887	Speech
Y0b06i5LzIFw.wav	5.515	6.581	Speech
Y0b06i5LzIFw.wav	7.505	8.246	Speech
Y0bO6DhC2tlU.wav	0.01	10.0	Dishes
Y0bO6DhC2tlU.wav	0.663	1.346	Frying
Y0bO6DhC2tlU.wav	1.698	2.341	Frying
