filename,onset,offset,event_label
Y--OMDPXfO6o_9.000_19.000.wav,0.0,9.785,Alarm_bell_ringing
Y--OMDPXfO6o_9.000_19.000.wav,1.556,9.415,Speech
Y--dr8rXrv8k_23.000_33.000.wav,0.692,2.529,Cat
Y--dr8rXrv8k_23.000_33.000.wav,2.849,3.48,Cat
Y--dr8rXrv8k_23.000_33.000.wav,3.664,3.991,Cat
Y--dr8rXrv8k_23.000_33.000.wav,4.271,4.558,Cat
Y--dr8rXrv8k_23.000_33.000.wav,4.798,8.528,Cat
Y--dr8rXrv8k_23.000_33.000.wav,0.0,0.541,Speech
Y--dr8rXrv8k_23.000_33.000.wav,1.667,2.657,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav,7.701,7.951,Dog
Y-1KAjPp2-Vc_120.000_130.000.wav,0.0,0.409,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav,0.598,0.848,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav,1.85,2.354,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav,5.701,6.449,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav,6.961,7.323,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,0.604,2.283,Alarm_bell_ringing
Y-1gZLnvKrBw_0.000_10.000.wav,4.963,5.243,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,5.597,6.024,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,6.267,6.856,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,7.04,7.541,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,8.093,8.977,Speech
Y-1gZLnvKrBw_0.000_10.000.wav,9.175,10.0,Speech
Y-1hDiUHXeZY_570.000_580.000.wav,6.472,10.0,Alarm_bell_ringing
Y-1hDiUHXeZY_570.000_580.000.wav,6.953,7.535,Speech
Y-1hDiUHXeZY_570.000_580.000.wav,7.764,9.039,Speech
Y-2kErLFAk5k_30.000_40.000.wav,1.126,1.614,Cat
Y-2kErLFAk5k_30.000_40.000.wav,2.629,3.775,Cat
Y-2kErLFAk5k_30.000_40.000.wav,4.701,5.286,Cat
Y-2kErLFAk5k_30.000_40.000.wav,6.334,6.585,Cat
Y-2kErLFAk5k_30.000_40.000.wav,8.251,9.453,Cat
Y-2kErLFAk5k_30.000_40.000.wav,7.252,8.348,Speech
Y-3bdRpp1ntw_180.000_190.000.wav,8.94,9.19,Dishes
Y-3bdRpp1ntw_180.000_190.000.wav,7.621,10.0,Speech
Y-3k1Xl7eriw_140.000_150.000.wav,2.546,10.0,Blender
Y-3k1Xl7eriw_140.000_150.000.wav,0.794,2.107,Speech
Y-3k1Xl7eriw_140.000_150.000.wav,3.509,4.65,Speech
Y-3xDCIpcY1o_13.000_23.000.wav,2.27,7.172,Alarm_bell_ringing
Y-3xDCIpcY1o_13.000_23.000.wav,7.506,8.936,Speech
Y-45YCn58LSk_90.000_100.000.wav,7.666,7.95,Dishes
Y-45YCn58LSk_90.000_100.000.wav,8.34,8.59,Dishes
Y-45YCn58LSk_90.000_100.000.wav,0.0,10.0,Frying
Y-45YCn58LSk_90.000_100.000.wav,0.0,1.598,Speech
Y-45YCn58LSk_90.000_100.000.wav,2.183,2.954,Speech
Y-45YCn58LSk_90.000_100.000.wav,3.149,3.962,Speech
Y-45YCn58LSk_90.000_100.000.wav,5.123,7.544,Speech
Y-45YCn58LSk_90.000_100.000.wav,7.983,8.828,Speech
Y-45YCn58LSk_90.000_100.000.wav,8.99,9.461,Speech
Y-4A2_GCaKGg_0.000_10.000.wav,0.745,2.31,Alarm_bell_ringing
Y-4A2_GCaKGg_0.000_10.000.wav,3.552,10.0,Speech
Y-4tFyjKAH7o_30.000_40.000.wav,8.394,8.644,Dog
Y-4tFyjKAH7o_30.000_40.000.wav,4.606,4.913,Speech
Y-6-rh8kbZf0_40.000_50.000.wav,0.0,10.0,Blender
Y-6-rh8kbZf0_40.000_50.000.wav,8.092,9.633,Speech
Y-6KfoGO_o9M_220.000_230.000.wav,0.0,10.0,Alarm_bell_ringing
Y-6KfoGO_o9M_220.000_230.000.wav,4.319,5.877,Speech
Y-6KfoGO_o9M_220.000_230.000.wav,7.682,8.141,Speech
Y-6KfoGO_o9M_220.000_230.000.wav,8.954,9.518,Speech
Y-6Vl2wMppE0_150.000_160.000.wav,8.457,9.213,Dog
Y-6Vl2wMppE0_150.000_160.000.wav,0.0,1.252,Speech
Y-7TkOxpkbwM_30.000_40.000.wav,2.369,4.262,Dog
Y-7TkOxpkbwM_30.000_40.000.wav,4.644,6.472,Dog
Y-7TkOxpkbwM_30.000_40.000.wav,8.665,9.77,Dog
Y-7TkOxpkbwM_30.000_40.000.wav,1.744,3.929,Speech
Y-7TkOxpkbwM_30.000_40.000.wav,4.254,6.171,Speech
Y-7TkOxpkbwM_30.000_40.000.wav,6.537,9.559,Speech
Y-8Wj1RGei5c_30.000_40.000.wav,2.491,5.869,Frying
Y-8Wj1RGei5c_30.000_40.000.wav,0.0,0.429,Speech
Y-8Wj1RGei5c_30.000_40.000.wav,4.507,5.154,Speech
Y-8Wj1RGei5c_30.000_40.000.wav,5.831,8.172,Speech
Y-8Wj1RGei5c_30.000_40.000.wav,8.465,10.0,Speech
Y-AWlZfhvSjM_30.000_40.000.wav,0.0,3.945,Alarm_bell_ringing
Y-AWlZfhvSjM_30.000_40.000.wav,4.755,6.171,Speech
Y-AWlZfhvSjM_30.000_40.000.wav,6.38,7.495,Speech
Y-AWlZfhvSjM_30.000_40.000.wav,8.543,8.925,Speech
Y-Cf73ZptH_o_0.000_10.000.wav,0.394,0.748,Alarm_bell_ringing
Y-Cf73ZptH_o_0.000_10.000.wav,2.677,2.927,Alarm_bell_ringing
Y-Cf73ZptH_o_0.000_10.000.wav,3.472,3.722,Alarm_bell_ringing
Y-Cf73ZptH_o_0.000_10.000.wav,4.008,5.457,Alarm_bell_ringing
Y-Cf73ZptH_o_0.000_10.000.wav,5.795,6.488,Alarm_bell_ringing
Y-Cf73ZptH_o_0.000_10.000.wav,8.079,10.0,Speech
Y-CsrFUWH4CM_30.000_40.000.wav,0.165,0.425,Dog
Y-CsrFUWH4CM_30.000_40.000.wav,2.535,2.795,Dog
Y-CsrFUWH4CM_30.000_40.000.wav,3.575,3.825,Dog
Y-CsrFUWH4CM_30.000_40.000.wav,0.0,4.819,Speech
Y-CsrFUWH4CM_30.000_40.000.wav,7.48,8.331,Speech
Y-CsrFUWH4CM_30.000_40.000.wav,8.724,9.252,Speech
Y-CsrFUWH4CM_30.000_40.000.wav,9.496,10.0,Speech
Y-CzAjJI8PbA_12.000_22.000.wav,5.212,5.672,Cat
Y-CzAjJI8PbA_12.000_22.000.wav,0.208,1.112,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,1.774,2.078,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,2.242,2.608,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,2.967,3.217,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,4.962,5.212,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,5.664,6.053,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,7.386,9.569,Dog
Y-CzAjJI8PbA_12.000_22.000.wav,4.3,5.586,Speech
Y-EaZ7EJJUl0_50.000_60.000.wav,0.081,0.331,Dishes
Y-EaZ7EJJUl0_50.000_60.000.wav,0.763,1.226,Dishes
Y-EaZ7EJJUl0_50.000_60.000.wav,1.874,2.124,Dishes
Y-EaZ7EJJUl0_50.000_60.000.wav,3.499,3.749,Dishes
Y-EaZ7EJJUl0_50.000_60.000.wav,3.291,3.557,Speech
Y-EaZ7EJJUl0_50.000_60.000.wav,3.829,5.234,Speech
Y-EaZ7EJJUl0_50.000_60.000.wav,6.559,6.917,Speech
Y-EaZ7EJJUl0_50.000_60.000.wav,8.427,10.0,Speech
Y-EbtCmQmXzA_160.000_170.000.wav,0.0,10.0,Frying
Y-EbtCmQmXzA_160.000_170.000.wav,0.105,2.099,Speech
Y-EbtCmQmXzA_160.000_170.000.wav,2.588,3.491,Speech
Y-EbtCmQmXzA_160.000_170.000.wav,4.379,5.899,Speech
Y-EbtCmQmXzA_160.000_170.000.wav,6.637,8.954,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,0.0,10.0,Alarm_bell_ringing
Y-EvDgHwRSbI_40.000_50.000.wav,0.0,0.461,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,0.628,2.291,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,2.5,3.743,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,3.939,5.405,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,5.782,9.26,Speech
Y-EvDgHwRSbI_40.000_50.000.wav,9.665,10.0,Speech
Y-FL784R2DJk_21.000_31.000.wav,3.305,3.701,Cat
Y-FL784R2DJk_21.000_31.000.wav,2.931,3.629,Speech
Y-FL784R2DJk_21.000_31.000.wav,4.933,5.703,Speech
Y-Fch7ZrYmWA_180.000_190.000.wav,3.051,3.392,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,4.432,4.682,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,4.895,5.145,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,5.358,5.608,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,5.769,6.355,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,7.657,8.68,Dishes
Y-Fch7ZrYmWA_180.000_190.000.wav,0.0,0.944,Speech
Y-FynDh8x2Go_60.000_70.000.wav,0.547,1.164,Speech
Y-FynDh8x2Go_60.000_70.000.wav,1.351,3.97,Speech
Y-FynDh8x2Go_60.000_70.000.wav,4.808,5.507,Speech
Y-FynDh8x2Go_60.000_70.000.wav,7.462,8.335,Speech
Y-FynDh8x2Go_60.000_70.000.wav,9.162,10.0,Speech
Y-FynDh8x2Go_60.000_70.000.wav,6.31,10.0,Vacuum_cleaner
Y-GFJt6U-eE8_340.000_350.000.wav,0.72,0.97,Dishes
Y-GFJt6U-eE8_340.000_350.000.wav,3.369,3.702,Dishes
Y-GFJt6U-eE8_340.000_350.000.wav,0.0,10.0,Frying
Y-GFJt6U-eE8_340.000_350.000.wav,0.022,0.347,Speech
Y-GFJt6U-eE8_340.000_350.000.wav,0.972,1.533,Speech
Y-GFJt6U-eE8_340.000_350.000.wav,2.231,3.377,Speech
Y-GFJt6U-eE8_340.000_350.000.wav,3.791,4.165,Speech
Y-GFJt6U-eE8_340.000_350.000.wav,4.733,5.879,Speech
Y-GQtDyZq5y4_30.000_40.000.wav,4.961,5.63,Dog
Y-GQtDyZq5y4_30.000_40.000.wav,8.039,8.417,Speech
Y-H8nh3Z1__M_170.000_180.000.wav,7.203,10.0,Blender
Y-H8nh3Z1__M_170.000_180.000.wav,0.341,3.156,Speech
Y-H8nh3Z1__M_170.000_180.000.wav,3.811,7.177,Speech
Y-HJxeIFmUd0_30.000_40.000.wav,7.646,8.276,Cat
Y-HJxeIFmUd0_30.000_40.000.wav,0.486,1.602,Speech
Y-HJxeIFmUd0_30.000_40.000.wav,2.741,3.158,Speech
Y-I2cnEG3Tsg_140.000_150.000.wav,0.0,2.748,Electric_shaver_toothbrush
Y-I2cnEG3Tsg_140.000_150.000.wav,8.472,10.0,Electric_shaver_toothbrush
Y-I2cnEG3Tsg_140.000_150.000.wav,1.213,2.126,Speech
Y-I2cnEG3Tsg_140.000_150.000.wav,3.157,4.85,Speech
Y-I2cnEG3Tsg_140.000_150.000.wav,5.583,6.386,Speech
Y-I2cnEG3Tsg_140.000_150.000.wav,6.866,7.63,Speech
Y-IUcRP5xaJQ_30.000_40.000.wav,0.0,10.0,Alarm_bell_ringing
Y-IUcRP5xaJQ_30.000_40.000.wav,8.339,9.102,Speech
Y-I_Ej65k3Rg_30.000_40.000.wav,9.488,10.0,Dishes
Y-I_Ej65k3Rg_30.000_40.000.wav,3.241,5.907,Dog
Y-I_Ej65k3Rg_30.000_40.000.wav,0.175,9.096,Speech
Y-Jnns0s8q2g_22.000_32.000.wav,0.0,1.865,Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav,3.027,3.657,Speech
Y-Jnns0s8q2g_22.000_32.000.wav,6.481,6.746,Speech
Y-Jnns0s8q2g_22.000_32.000.wav,8.198,8.558,Speech
Y-Jnns0s8q2g_22.000_32.000.wav,8.837,9.189,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,0.0,0.275,Dog
Y-MLUvNEPuz4_28.000_38.000.wav,0.745,3.803,Dog
Y-MLUvNEPuz4_28.000_38.000.wav,4.035,4.762,Dog
Y-MLUvNEPuz4_28.000_38.000.wav,4.912,5.324,Dog
Y-MLUvNEPuz4_28.000_38.000.wav,5.533,6.35,Dog
Y-MLUvNEPuz4_28.000_38.000.wav,0.926,1.316,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,1.668,2.155,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,2.657,3.174,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,4.312,4.979,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,5.181,5.683,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,6.08,7.032,Speech
Y-MLUvNEPuz4_28.000_38.000.wav,7.706,9.2,Speech
Y-MV3EUQLBSg_190.000_200.000.wav,2.95,4.266,Alarm_bell_ringing
Y-MV3EUQLBSg_190.000_200.000.wav,4.695,10.0,Speech
Y-MaVa-oaB2w_11.000_21.000.wav,1.354,2.261,Alarm_bell_ringing
Y-MaVa-oaB2w_11.000_21.000.wav,1.014,8.965,Speech
Y-O6P91Zvf8U_130.000_140.000.wav,0.68,0.93,Dishes
Y-O6P91Zvf8U_130.000_140.000.wav,1.565,1.815,Dishes
Y-O6P91Zvf8U_130.000_140.000.wav,3.084,3.742,Dishes
Y-O6P91Zvf8U_130.000_140.000.wav,1.338,3.125,Speech
Y-RIXNh-i88E_30.000_40.000.wav,1.89,10.0,Frying
Y-RIXNh-i88E_30.000_40.000.wav,8.268,9.756,Speech
Y-T5KPWf0llU_110.000_120.000.wav,0.0,4.455,Blender
Y-T5KPWf0llU_110.000_120.000.wav,5.35,6.787,Speech
Y-TIft38LSIo_0.000_10.000.wav,0.196,1.031,Alarm_bell_ringing
Y-TIft38LSIo_0.000_10.000.wav,3.582,4.703,Alarm_bell_ringing
Y-TIft38LSIo_0.000_10.000.wav,7.103,9.864,Speech
Y-Ub-7jNnSx8_0.000_10.000.wav,2.307,10.0,Alarm_bell_ringing
Y-Ub-7jNnSx8_0.000_10.000.wav,1.425,5.323,Speech
Y-V9keG9ErP0_420.000_430.000.wav,0.053,1.986,Alarm_bell_ringing
Y-V9keG9ErP0_420.000_430.000.wav,2.227,3.251,Speech
Y-V9keG9ErP0_420.000_430.000.wav,3.627,5.049,Speech
Y-V9keG9ErP0_420.000_430.000.wav,6.027,9.481,Speech
Y-VvftMHnhLA_30.000_40.000.wav,2.471,10.0,Running_water
Y-VvftMHnhLA_30.000_40.000.wav,2.308,5.099,Speech
Y-Xvh80apkN4_17.000_27.000.wav,7.776,9.657,Running_water
Y-Xvh80apkN4_17.000_27.000.wav,5.403,5.902,Speech
Y-Yz349fL0ck_30.000_40.000.wav,0.298,0.574,Dog
Y-Yz349fL0ck_30.000_40.000.wav,2.686,2.979,Dog
Y-Yz349fL0ck_30.000_40.000.wav,0.0,2.369,Speech
Y-Yz349fL0ck_30.000_40.000.wav,2.719,8.868,Speech
Y-Yz349fL0ck_30.000_40.000.wav,9.347,10.0,Speech
Y-ZDBAF2QG2I_4.000_14.000.wav,0.0,9.816,Alarm_bell_ringing
Y-ZDBAF2QG2I_4.000_14.000.wav,0.0,0.685,Speech
Y-ZDBAF2QG2I_4.000_14.000.wav,1.069,1.755,Speech
Y-ZDBAF2QG2I_4.000_14.000.wav,2.207,5.566,Speech
Y-ZDBAF2QG2I_4.000_14.000.wav,9.336,9.816,Speech
Y-ZQyOHRlm8k_30.000_40.000.wav,2.526,4.274,Alarm_bell_ringing
Y-ZQyOHRlm8k_30.000_40.000.wav,0.0,0.656,Speech
Y-_8E5aDUqas_30.000_40.000.wav,0.0,0.466,Cat
Y-_8E5aDUqas_30.000_40.000.wav,5.297,6.287,Cat
Y-_8E5aDUqas_30.000_40.000.wav,8.871,9.581,Cat
Y-_8E5aDUqas_30.000_40.000.wav,1.304,2.585,Speech
Y-_8E5aDUqas_30.000_40.000.wav,4.063,4.89,Speech
Y-_8E5aDUqas_30.000_40.000.wav,7.032,8.161,Speech
Y-_OktjRkoSk_110.000_120.000.wav,3.339,10.0,Frying
Y-_OktjRkoSk_110.000_120.000.wav,0.0,9.882,Speech
Y-_iFkUjP1Og_30.000_40.000.wav,2.922,3.172,Dog
Y-_iFkUjP1Og_30.000_40.000.wav,9.096,9.346,Dog
Y-_iFkUjP1Og_30.000_40.000.wav,0.0,9.201,Speech
Y-_nPg0thx-s_410.000_420.000.wav,0.0,9.209,Blender
Y-_nPg0thx-s_410.000_420.000.wav,9.232,10.0,Speech
Y-aOBjxiGef0_480.000_490.000.wav,6.772,8.194,Alarm_bell_ringing
Y-aOBjxiGef0_480.000_490.000.wav,0.0,0.256,Speech
Y-aOBjxiGef0_480.000_490.000.wav,0.677,2.423,Speech
Y-aOBjxiGef0_480.000_490.000.wav,3.19,3.807,Speech
Y-aOBjxiGef0_480.000_490.000.wav,5.531,6.787,Speech
Y-aOBjxiGef0_480.000_490.000.wav,9.3,10.0,Speech
Y-aYGziNrpAI_30.000_40.000.wav,0.579,0.85,Alarm_bell_ringing
Y-aYGziNrpAI_30.000_40.000.wav,8.067,8.816,Speech
Y-aiu1gvvLt0_40.000_50.000.wav,0.0,10.0,Electric_shaver_toothbrush
Y-aiu1gvvLt0_40.000_50.000.wav,2.15,5.047,Speech
Y-aiu1gvvLt0_40.000_50.000.wav,5.961,7.142,Speech
Y-aiu1gvvLt0_40.000_50.000.wav,7.551,8.315,Speech
Y-aiu1gvvLt0_40.000_50.000.wav,9.26,10.0,Speech
Y-b_MKdGkmMU_20.000_30.000.wav,4.204,8.631,Electric_shaver_toothbrush
Y-b_MKdGkmMU_20.000_30.000.wav,1.913,2.975,Speech
Y-b_MKdGkmMU_20.000_30.000.wav,5.028,5.278,Speech
Y-b_MKdGkmMU_20.000_30.000.wav,6.159,10.0,Speech
Y-f4mhC6iEQg_440.000_450.000.wav,9.672,10.0,Dog
Y-f4mhC6iEQg_440.000_450.000.wav,3.157,8.584,Speech
Y-fKwciZMwKA_90.000_100.000.wav,4.086,4.336,Dog
Y-fKwciZMwKA_90.000_100.000.wav,6.461,8.3,Dog
Y-fKwciZMwKA_90.000_100.000.wav,0.0,1.234,Speech
Y-fKwciZMwKA_90.000_100.000.wav,1.409,2.945,Speech
Y-fKwciZMwKA_90.000_100.000.wav,3.644,4.098,Speech
Y-fKwciZMwKA_90.000_100.000.wav,4.366,6.438,Speech
Y-fKwciZMwKA_90.000_100.000.wav,7.008,9.628,Speech
Y-fTUEc2N6WY_13.000_23.000.wav,8.814,9.064,Cat
Y-fTUEc2N6WY_13.000_23.000.wav,1.326,2.908,Speech
Y-fTUEc2N6WY_13.000_23.000.wav,3.592,4.367,Speech
Y-fTUEc2N6WY_13.000_23.000.wav,6.287,7.439,Speech
Y-fTUEc2N6WY_13.000_23.000.wav,7.885,8.384,Speech
Y-fTUEc2N6WY_13.000_23.000.wav,9.083,9.405,Speech
Y-fvE4-YJthc_90.000_100.000.wav,0.0,10.0,Frying
Y-fvE4-YJthc_90.000_100.000.wav,6.536,8.791,Speech
Y-g-eZBsr_3s_520.000_530.000.wav,0.0,10.0,Frying
Y-g-eZBsr_3s_520.000_530.000.wav,2.406,3.865,Speech
Y-g-eZBsr_3s_520.000_530.000.wav,4.097,5.758,Speech
Y-g-eZBsr_3s_520.000_530.000.wav,6.676,7.449,Speech
Y-g-eZBsr_3s_520.000_530.000.wav,8.85,9.382,Speech
Y-hANYqOe6UU_10.000_20.000.wav,0.0,0.511,Dog
Y-hANYqOe6UU_10.000_20.000.wav,6.459,7.946,Speech
Y-jp2qvHQXq8_200.000_210.000.wav,8.381,8.901,Speech
Y-jp2qvHQXq8_200.000_210.000.wav,0.0,10.0,Vacuum_cleaner
Y-kngohODefw_470.000_480.000.wav,6.954,8.416,Alarm_bell_ringing
Y-kngohODefw_470.000_480.000.wav,8.262,10.0,Speech
Y-mQN4Uba_Wo_4.000_14.000.wav,0.589,0.955,Dog
Y-mQN4Uba_Wo_4.000_14.000.wav,3.195,9.098,Speech
Y-m_rnUuUliM_3.000_13.000.wav,0.0,0.25,Cat
Y-m_rnUuUliM_3.000_13.000.wav,1.176,1.426,Cat
Y-m_rnUuUliM_3.000_13.000.wav,0.599,1.235,Speech
Y-m_rnUuUliM_3.000_13.000.wav,2.492,2.898,Speech
Y-m_rnUuUliM_3.000_13.000.wav,6.662,7.867,Speech
Y-m_rnUuUliM_3.000_13.000.wav,8.665,9.139,Speech
Y-m_rnUuUliM_3.000_13.000.wav,9.471,9.73,Speech
Y-n8GnPW8M28_30.000_40.000.wav,0.0,10.0,Running_water
Y-n8GnPW8M28_30.000_40.000.wav,7.216,7.466,Speech
Y-nYLg1FyJR0_30.000_40.000.wav,8.638,10.0,Alarm_bell_ringing
Y-nYLg1FyJR0_30.000_40.000.wav,0.646,2.197,Speech
Y-nYLg1FyJR0_30.000_40.000.wav,3.197,4.094,Speech
Y-nbyQ5k5aFQ_30.000_40.000.wav,1.43,2.039,Cat
Y-nbyQ5k5aFQ_30.000_40.000.wav,9.699,10.0,Cat
Y-nbyQ5k5aFQ_30.000_40.000.wav,0.64,1.52,Speech
Y-nbyQ5k5aFQ_30.000_40.000.wav,3.062,3.506,Speech
Y-nbyQ5k5aFQ_30.000_40.000.wav,4.259,4.883,Speech
Y-nbyQ5k5aFQ_30.000_40.000.wav,5.448,6.471,Speech
Y-nbyQ5k5aFQ_30.000_40.000.wav,6.9,10.0,Speech
Y-oWmuE24xnU_80.000_90.000.wav,7.461,7.943,Dog
Y-oWmuE24xnU_80.000_90.000.wav,1.263,1.786,Speech
Y-oXXrbEo7IU_0.000_10.000.wav,5.869,6.659,Alarm_bell_ringing
Y-oXXrbEo7IU_0.000_10.000.wav,6.84,7.562,Alarm_bell_ringing
Y-oXXrbEo7IU_0.000_10.000.wav,7.78,8.518,Alarm_bell_ringing
Y-oXXrbEo7IU_0.000_10.000.wav,8.736,10.0,Alarm_bell_ringing
Y-oXXrbEo7IU_0.000_10.000.wav,0.67,2.528,Speech
Y-oXXrbEo7IU_0.000_10.000.wav,2.972,5.734,Speech
Y-o_7BPSJAto_30.000_40.000.wav,0.493,1.614,Alarm_bell_ringing
Y-o_7BPSJAto_30.000_40.000.wav,6.399,7.609,Alarm_bell_ringing
Y-o_7BPSJAto_30.000_40.000.wav,8.259,9.396,Speech
Y-o_7BPSJAto_30.000_40.000.wav,9.591,10.0,Speech
Y-q7ytM-Hox4_420.000_430.000.wav,0.0,10.0,Electric_shaver_toothbrush
